Config;Fold;Accuracy;F1 Score;Mathious;Recall;Precision
Size=128Grabcut=FalseBlur=FalseGamma=1.5EqHist=FalseRotate=FalseBrightness=1.0;1;0.044812768569674644;0.042668830705694986;0.039976357797075264;0.044812768569674644;0.05464428821683206
;;;;;;
Size=128Grabcut=FalseBlur=FalseGamma=1.5EqHist=FalseRotate=FalseBrightness=1.0;2;0.04358502148557397;0.04298938819505847;0.03872627516500263;0.04358502148557397;0.05344374657829321
;;;;;;
Size=128Grabcut=FalseBlur=FalseGamma=1.5EqHist=FalseRotate=FalseBrightness=1.0;3;0.03867403314917127;0.038833450271750704;0.033888423786896126;0.03867403314917127;0.05021545319936893
;;;;;;
Size=128Grabcut=FalseBlur=FalseGamma=1.5EqHist=FalseRotate=FalseBrightness=1.0;4;0.04665438919582566;0.04494772060644395;0.04185008597264065;0.04665438919582566;0.05664323077468998
;;;;;;
Size=128Grabcut=FalseBlur=FalseGamma=1.5EqHist=FalseRotate=FalseBrightness=1.0;5;0.049754299754299756;0.044428012973507174;0.04497905866682676;0.049754299754299756;0.0582893371375383
;;;;;;
Size=128Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=0.5;1;0.05156537753222836;0.04750710390750965;0.04684508840335741;0.05156537753222836;0.07087146047123451
;;;;;;
Size=128Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=0.5;2;0.04665438919582566;0.04642034123903411;0.041906679437352296;0.04665438919582566;0.06132830227357726
;;;;;;
Size=128Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=0.5;3;0.04665438919582566;0.0425706532895402;0.041806120478910754;0.04665438919582566;0.04445605368150397
;;;;;;
Size=128Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=0.5;4;0.03437691835481891;0.032336569781896723;0.029741262176025806;0.03437691835481891;0.0484667518502757
;;;;;;
Size=128Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=0.5;5;0.05098280098280098;0.048310631325408734;0.04631489841053948;0.05098280098280098;0.06495788146601109
;;;;;;
Size=128Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.5;1;0.057704112952731736;0.0536315571953137;0.05299759153547578;0.057704112952731736;0.06501682869484988
;;;;;;
Size=128Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.5;2;0.03376304481276857;0.03342882647163387;0.02873197666942193;0.03376304481276857;0.042144663881061264
;;;;;;
Size=128Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.5;3;0.04419889502762431;0.041929806551324715;0.039552285258169;0.04419889502762431;0.04670147816392982
;;;;;;
Size=128Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.5;4;0.030079803560466543;0.02529648738535782;0.02539948923331866;0.030079803560466543;0.03417536084140381
;;;;;;
Size=128Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.5;5;0.05098280098280098;0.0446073925486578;0.046493596301586546;0.05098280098280098;0.06449732446214138
;;;;;;
Size=64Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;1;0.05279312461632903;0.052098030900957264;0.04810241681462356;0.05279312461632903;0.06729688458146343
;;;;;;
Size=64Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;2;0.04604051565377532;0.043403138214302944;0.04118040940386475;0.04604051565377532;0.05467415480785285
;;;;;;
Size=64Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;3;0.04542664211172499;0.04416556367690042;0.04060558897393796;0.04542664211172499;0.060793980641505284
;;;;;;
Size=64Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;4;0.05954573357888275;0.057763973152173034;0.054855003868818274;0.05954573357888275;0.07398718011826588
;;;;;;
Size=64Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;5;0.04361179361179361;0.03605662912839863;0.03897907814508778;0.04361179361179361;0.05026270998067199
;;;;;;
Size=196Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;1;0.034990791896869246;0.035021715798190536;0.030167915153174348;0.034990791896869246;0.05793849846738271
;;;;;;
Size=196Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;2;0.03990178023327195;0.038114670738468026;0.03500958229186521;0.03990178023327195;0.048220904958939693
;;;;;;
Size=196Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;3;0.03130755064456722;0.030072161603906508;0.026428898382179662;0.03130755064456722;0.0404012220694426
;;;;;;
Size=196Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;4;0.028238182934315532;0.02438246175270609;0.02305310166238727;0.028238182934315532;0.027528837363333825
;;;;;;
Size=196Grabcut=FalseBlur=FalseGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;5;0.032535297728667895;0.03401646932278842;0.02779703770135109;0.032535297728667895;0.04474203581017577
;;;;;;
Size=128Grabcut=FalseBlur=TrueGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;1;0.047268262737875995;0.04793239485808451;0.04255603253316222;0.047268262737875995;0.06690172334035405
;;;;;;
Size=128Grabcut=FalseBlur=TrueGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;2;0.0374462860650706;0.033550367404070414;0.03261418667604355;0.0374462860650706;0.045435979839034205
;;;;;;
Size=128Grabcut=FalseBlur=TrueGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;3;0.05033763044812769;0.05041371969255031;0.045526974125204296;0.05033763044812769;0.07074636572330516
;;;;;;
Size=128Grabcut=FalseBlur=TrueGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;4;0.04358502148557397;0.043455081833804754;0.03865878109262742;0.04358502148557397;0.05856546918989092
;;;;;;
Size=128Grabcut=FalseBlur=TrueGamma=1.0EqHist=FalseRotate=FalseBrightness=1.0;5;0.0423572744014733;0.0404758690880476;0.037617035162782086;0.0423572744014733;0.04674318619142696
